nextId:17;rootId:15                                                                                                                             
id;leaf;keys;parent;children;prev;next;refs                                                                                                     
2;1;1913,1913,1913,1913,1913;4;null;null;3;531,492,214,205,179                                                                                  
3;1;1913,1913,1913,1913,1913;4;null;2;7;918,640,172,161,131                                                                                     
4;0;1913,1913,1923,1923,1923;15;2,5,3,11,8,7;null;null;                                                                                         
5;1;1913,1913,1964,1964,1964;4;null;9;null;8,1,232,173,2                                                                                        
6;1;1964,1964,1964,1964,1964;14;null;8;10;932,682,675,569,501                                                                                   
7;1;1923,1923,1923,1923,1923;4;null;3;12;975,699,615,536,442                                                                                    
8;1;1923,1923,1923,1923,1923;4;null;11;6;396,342,279,84,3                                                                                       
9;1;1964,1964,1964,2001,2001;14;null;10;5;480,291,235,40,4                                                                                      
10;1;2001,2001,2001,2001,2001,2001,2001;14;null;6;9;786,483,462,180,165,112,96                                                                  
11;1;1923,1944,1944,1944,1944;4;null;16;8;403,216,136,97,5                                                                                      
12;1;1944,1944,1944,1944,1955;14;null;7;13;894,799,749,333,666                                                                                  
13;1;1955,1955,1955,1955,1955;14;null;12;16;986,978,769,750,734                                                                                 
14;0;1955,1955,1964,1964,2001;15;12,16,13,9,6,10;null;null;                                                                                     
15;0;1944;-1;4,14;null;null;                                                                                                                    
16;1;1955,1955,1955,1955,1955;14;null;13;11;592,530,385,349,6                                                                                   
